ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq1152,0.257,0.343,0.629,0.257,0.114
seq1153,0.398,0.29,0.441,0.376,0.194
seq1154,0.6,0.35,0.5,0.25,0.1
seq1155,0.163,0.488,0.442,0.14,0.395
seq1156,0.542,0.208,0.625,0.167,0.208
seq1157,0.471,0.322,0.356,0.356,0.276
seq1158,0.405,0.354,0.392,0.266,0.316
seq1159,0.474,0.282,0.385,0.397,0.231
seq1160,0.571,0.238,0.429,0.238,0.19
seq1161,0.429,0.429,0.714,0.143,0.071
seq1162,0.333,0.444,0.5,0.167,0.167
seq1163,0.435,0.304,0.435,0.348,0.261
seq1164,0.294,0.309,0.397,0.338,0.338
seq1165,0.391,0.326,0.565,0.13,0.261
seq1166,0.257,0.514,0.486,0.229,0.2
seq1167,0.248,0.248,0.308,0.12,0.538
seq1168,0.25,0.469,0.562,0.188,0.25
seq1169,0.3,0.4,0.5,0.233,0.267
seq1170,0.385,0.423,0.577,0.231,0.308
seq1171,0.47,0.25,0.48,0.27,0.24
seq1172,0.636,0.182,0.545,0.273,0.318
seq1173,0.375,0.304,0.429,0.232,0.232
seq1174,0.688,0.125,0.5,0.188,0.312
seq1175,0.37,0.296,0.481,0.222,0.148
seq1176,0.385,0.231,0.462,0.154,0.308
seq1177,0.467,0.267,0.6,0.167,0.1
seq1178,0.5,0.219,0.531,0.188,0.219
seq1179,0.333,0.444,0.5,0.333,0.278
seq1180,0.28,0.48,0.48,0.24,0.28
seq1181,0.433,0.278,0.567,0.222,0.189
seq1182,0.28,0.293,0.451,0.378,0.378
seq1183,0.692,0.192,0.192,0.385,0.269
seq1184,0.438,0.312,0.5,0.375,0.25
seq1185,0.462,0.385,0.385,0.231,0.308
seq1186,0.5,0.444,0.556,0.333,0.111
seq1187,0.6,0.2,0.533,0.133,0.133
seq1188,0.385,0.385,0.538,0.154,0.308
seq1189,0.556,0.333,0.444,0.167,0.278
seq1190,0.545,0.273,0.409,0.318,0.227
seq1191,0.389,0.278,0.389,0.222,0.333
seq1192,0.621,0.172,0.241,0.207,0.138
seq1193,0.414,0.448,0.483,0.207,0.172
seq1194,0.466,0.27,0.459,0.345,0.176
seq1195,0.381,0.333,0.762,0.19,0.048
seq1196,0.435,0.348,0.652,0.217,0.13
seq1197,0.529,0.353,0.647,0.294,0.059
seq1198,0.2,0.267,0.6,0.267,0.2
seq1199,0.52,0.28,0.44,0.2,0.2
seq1200,0.654,0.308,0.423,0.231,0.192
seq1201,0.298,0.321,0.45,0.275,0.336
seq1202,0.761,0.043,0.348,0.587,0.152
seq1203,0.158,0.553,0.421,0.237,0.316
seq1204,0.1,0.6,0.8,0.1,0.1
seq1205,0.417,0.25,0.583,0.25,0.208
seq1206,0.478,0.326,0.457,0.109,0.261
seq1207,0.491,0.164,0.345,0.491,0.2
seq1208,0.362,0.362,0.426,0.191,0.255
seq1209,0.268,0.341,0.439,0.268,0.268
seq1210,0.286,0.357,0.524,0.167,0.167
seq1211,0.632,0.158,0.474,0.211,0.316
seq1212,0.372,0.279,0.448,0.29,0.235
seq1213,0.515,0.242,0.576,0.303,0.061
seq1214,0.483,0.276,0.379,0.276,0.034
seq1215,0.611,0.167,0.333,0.278,0.111
seq1216,0.466,0.259,0.397,0.379,0.121
seq1217,0.289,0.305,0.477,0.312,0.281
seq1218,0.244,0.328,0.571,0.277,0.185
seq1219,0.316,0.421,0.526,0.158,0.211
seq1220,0.216,0.351,0.459,0.27,0.297
seq1221,0.291,0.327,0.436,0.327,0.273
seq1222,0.5,0.269,0.5,0.308,0.192
seq1223,0.296,0.222,0.519,0.259,0.259
seq1224,0.35,0.3,0.65,0.2,0.2
seq1225,0.423,0.154,0.692,0.231,0.077
seq1226,0.424,0.379,0.439,0.394,0.197
seq1227,0.542,0.305,0.424,0.373,0.22
seq1228,0.286,0.357,0.429,0.357,0.429
seq1229,0.417,0.583,0.583,0.0,0.0
seq1230,0.385,0.385,0.538,0.308,0.154
seq1231,0.316,0.316,0.579,0.158,0.263
seq1232,0.545,0.227,0.591,0.091,0.273
seq1233,0.417,0.333,0.333,0.292,0.208
seq1234,0.453,0.297,0.375,0.312,0.219
seq1235,0.667,0.19,0.333,0.524,0.286
seq1236,0.704,0.037,0.444,0.519,0.185
seq1237,0.406,0.312,0.5,0.281,0.219
seq1238,0.333,0.333,0.567,0.233,0.2
seq1239,0.368,0.368,0.5,0.158,0.342
seq1240,0.54,0.26,0.54,0.24,0.16
seq1241,0.553,0.179,0.48,0.301,0.171
seq1242,0.485,0.272,0.476,0.223,0.175
seq1243,0.5,0.238,0.341,0.333,0.31
seq1244,0.596,0.235,0.412,0.287,0.213
seq1245,0.605,0.105,0.5,0.237,0.184
seq1246,0.549,0.333,0.529,0.294,0.176
seq1247,0.431,0.255,0.471,0.373,0.118
seq1248,0.462,0.231,0.308,0.231,0.308
seq1249,0.333,0.333,0.576,0.333,0.152
seq1250,0.414,0.345,0.621,0.241,0.103
seq1251,0.312,0.5,0.625,0.188,0.188
seq1252,0.3,0.3,0.4,0.45,0.35
seq1253,0.533,0.2,0.733,0.133,0.133
seq1254,0.238,0.476,0.524,0.238,0.19
seq1255,0.37,0.296,0.593,0.185,0.148
seq1256,0.565,0.261,0.696,0.043,0.174
seq1257,0.396,0.377,0.472,0.34,0.189
seq1258,0.479,0.264,0.457,0.379,0.2
seq1259,0.189,0.243,0.27,0.459,0.541
seq1260,0.556,0.222,0.556,0.111,0.333
seq1261,0.493,0.2,0.479,0.35,0.143
seq1262,0.462,0.538,0.538,0.0,0.0
seq1263,0.667,0.292,0.417,0.333,0.083
seq1264,0.429,0.357,0.381,0.31,0.333
seq1265,0.61,0.293,0.341,0.366,0.293
seq1266,0.706,0.176,0.647,0.235,0.176
seq1267,0.611,0.222,0.611,0.222,0.222
seq1268,0.529,0.235,0.412,0.412,0.294
seq1269,0.4,0.333,0.467,0.2,0.333
seq1270,0.344,0.312,0.531,0.125,0.25
seq1271,0.378,0.324,0.459,0.243,0.216
seq1272,0.412,0.118,0.588,0.235,0.118
seq1273,0.588,0.235,0.765,0.118,0.118
seq1274,0.301,0.371,0.462,0.294,0.273
seq1275,0.444,0.289,0.422,0.2,0.378
seq1276,0.442,0.233,0.14,0.558,0.349
seq1277,0.471,0.147,0.324,0.471,0.176
seq1278,0.526,0.237,0.5,0.289,0.105
seq1279,0.545,0.273,0.591,0.273,0.091
seq1280,0.577,0.192,0.615,0.154,0.077
seq1281,0.469,0.312,0.594,0.312,0.062
seq1282,0.442,0.349,0.558,0.209,0.186
seq1283,0.483,0.207,0.379,0.483,0.172
seq1284,0.436,0.308,0.615,0.128,0.154
seq1285,0.371,0.314,0.2,0.314,0.514
seq1286,0.304,0.304,0.174,0.174,0.565
seq1287,0.583,0.333,0.292,0.167,0.167
seq1288,0.5,0.214,0.286,0.214,0.25
seq1289,0.375,0.281,0.312,0.344,0.312
seq1290,0.071,0.214,0.786,0.071,0.107
seq1291,0.378,0.432,0.378,0.378,0.297
seq1292,0.238,0.31,0.429,0.381,0.381
seq1293,0.28,0.28,0.46,0.34,0.36
seq1294,0.324,0.432,0.486,0.189,0.297
seq1295,0.517,0.31,0.586,0.241,0.172
seq1296,0.368,0.421,0.421,0.263,0.211
seq1297,0.55,0.35,0.4,0.2,0.15
seq1298,0.6,0.3,0.4,0.1,0.3
seq1299,0.5,0.417,0.417,0.083,0.25
seq1300,0.444,0.333,0.5,0.111,0.167
seq1301,0.421,0.421,0.421,0.105,0.211
seq1302,0.389,0.444,0.5,0.222,0.222
seq1303,0.471,0.471,0.471,0.118,0.118
seq1304,0.5,0.333,0.417,0.0,0.333
seq1305,0.4,0.35,0.45,0.3,0.1
seq1306,0.562,0.312,0.25,0.438,0.25
seq1307,0.474,0.421,0.368,0.105,0.316
seq1308,0.533,0.267,0.4,0.067,0.2
seq1309,0.529,0.294,0.353,0.118,0.353
seq1310,0.6,0.2,0.533,0.133,0.133
seq1311,0.375,0.5,0.562,0.188,0.188
seq1312,0.526,0.263,0.579,0.105,0.211
seq1313,0.533,0.267,0.533,0.0,0.2
seq1314,0.636,0.182,0.455,0.273,0.136
seq1315,0.667,0.222,0.5,0.333,0.056
seq1316,0.483,0.293,0.707,0.103,0.207
seq1317,0.318,0.295,0.591,0.182,0.205
seq1318,0.211,0.395,0.474,0.158,0.342
seq1319,0.277,0.383,0.447,0.319,0.34
seq1320,0.314,0.333,0.412,0.255,0.333
seq1321,0.344,0.25,0.281,0.375,0.406
seq1322,0.281,0.281,0.375,0.406,0.344
seq1323,0.419,0.452,0.484,0.355,0.097
seq1324,0.552,0.207,0.483,0.207,0.172
seq1325,0.483,0.31,0.586,0.0,0.103
seq1326,0.538,0.308,0.769,0.077,0.154
seq1327,0.455,0.364,0.5,0.273,0.182
seq1328,0.611,0.111,0.333,0.528,0.083
seq1329,0.4,0.3,0.55,0.2,0.2
seq1330,0.545,0.227,0.318,0.227,0.136
seq1331,0.612,0.163,0.429,0.347,0.204
seq1332,0.6,0.267,0.467,0.533,0.0
seq1333,0.333,0.4,0.467,0.2,0.267
seq1334,0.364,0.364,0.455,0.091,0.455
seq1335,0.605,0.233,0.395,0.302,0.163
seq1336,0.556,0.296,0.519,0.074,0.222
seq1337,0.538,0.333,0.487,0.308,0.103
seq1338,0.618,0.273,0.436,0.4,0.091
seq1339,0.636,0.227,0.682,0.136,0.045
seq1340,0.363,0.396,0.363,0.286,0.374
seq1341,0.308,0.308,0.404,0.346,0.308
seq1342,0.373,0.242,0.453,0.28,0.236
seq1343,0.4,0.291,0.345,0.473,0.182
seq1344,0.424,0.303,0.455,0.242,0.242
seq1345,0.4,0.35,0.55,0.25,0.25
seq1346,0.538,0.282,0.282,0.333,0.256
seq1347,0.158,0.395,0.526,0.289,0.263
seq1348,0.418,0.313,0.627,0.179,0.224
seq1349,0.237,0.395,0.553,0.184,0.211
seq1350,0.366,0.29,0.43,0.312,0.344
seq1351,0.2,0.6,0.55,0.1,0.15
seq1352,0.273,0.455,0.606,0.212,0.182
seq1353,0.615,0.077,0.308,0.462,0.231
seq1354,0.347,0.327,0.633,0.286,0.061
seq1355,0.367,0.242,0.475,0.267,0.292
seq1356,0.322,0.316,0.395,0.303,0.283
seq1357,0.438,0.312,0.75,0.062,0.125
seq1358,0.409,0.273,0.636,0.136,0.273
seq1359,0.356,0.333,0.578,0.156,0.2
seq1360,0.381,0.349,0.349,0.381,0.302
seq1361,0.458,0.292,0.479,0.271,0.26
seq1362,0.538,0.231,0.231,0.154,0.462
seq1363,0.536,0.357,0.429,0.107,0.25
seq1364,0.469,0.312,0.5,0.125,0.094
seq1365,0.417,0.306,0.306,0.444,0.417
seq1366,0.613,0.065,0.419,0.065,0.065
seq1367,0.356,0.311,0.533,0.289,0.178
seq1368,0.435,0.348,0.652,0.174,0.087
seq1369,0.519,0.266,0.443,0.278,0.203
seq1370,0.158,0.421,0.737,0.105,0.105
seq1371,0.5,0.227,0.727,0.182,0.136
seq1372,0.395,0.132,0.316,0.342,0.342
seq1373,0.294,0.235,0.294,0.471,0.353
seq1374,0.294,0.235,0.529,0.294,0.235
seq1375,0.275,0.275,0.49,0.333,0.294
seq1376,0.6,0.125,0.475,0.275,0.125
seq1377,0.545,0.273,0.424,0.121,0.152
seq1378,0.515,0.333,0.515,0.152,0.091
seq1379,0.49,0.235,0.549,0.255,0.235
seq1380,0.48,0.28,0.4,0.28,0.2
seq1381,0.135,0.459,0.595,0.216,0.27
seq1382,0.341,0.398,0.489,0.25,0.273
seq1383,0.37,0.359,0.511,0.185,0.25
seq1384,0.526,0.281,0.45,0.292,0.211
seq1385,0.538,0.385,0.462,0.385,0.154
seq1386,0.571,0.429,0.571,0.143,0.0
seq1387,0.364,0.545,0.727,0.182,0.0
seq1388,0.643,0.286,0.429,0.214,0.143
seq1389,0.227,0.427,0.467,0.333,0.2
seq1390,0.392,0.289,0.34,0.423,0.227
seq1391,0.406,0.312,0.406,0.469,0.062
seq1392,0.375,0.5,0.625,0.188,0.062
seq1393,0.404,0.383,0.362,0.34,0.255
seq1394,0.42,0.325,0.503,0.255,0.223
seq1395,0.286,0.299,0.517,0.245,0.259
seq1396,0.266,0.316,0.392,0.367,0.392
seq1397,0.405,0.316,0.367,0.392,0.304
seq1398,0.234,0.342,0.468,0.279,0.288
seq1399,0.333,0.361,0.472,0.194,0.167
seq1400,0.44,0.4,0.52,0.12,0.24
seq1401,0.382,0.353,0.441,0.176,0.294
seq1402,0.536,0.143,0.286,0.464,0.179
seq1403,0.455,0.318,0.5,0.227,0.136
seq1404,0.464,0.286,0.476,0.369,0.167
seq1405,0.508,0.237,0.407,0.373,0.203
seq1406,0.417,0.306,0.361,0.5,0.222
seq1407,0.318,0.5,0.5,0.091,0.182
seq1408,0.455,0.273,0.455,0.182,0.273
seq1409,0.357,0.286,0.286,0.286,0.5
seq1410,0.42,0.26,0.5,0.34,0.2
seq1411,0.403,0.194,0.355,0.323,0.29
seq1412,0.452,0.238,0.524,0.31,0.119
seq1413,0.182,0.576,0.545,0.03,0.424
seq1414,0.5,0.5,0.75,0.0,0.083
seq1415,0.462,0.462,0.615,0.077,0.231
seq1416,0.371,0.429,0.457,0.171,0.4
seq1417,0.481,0.185,0.444,0.222,0.111
seq1418,0.429,0.286,0.457,0.4,0.114
seq1419,0.437,0.214,0.417,0.33,0.223
seq1420,0.457,0.181,0.429,0.286,0.21
seq1421,0.55,0.3,0.4,0.15,0.2
seq1422,0.245,0.449,0.592,0.122,0.163
seq1423,0.423,0.254,0.296,0.155,0.408
seq1424,0.35,0.2,0.2,0.3,0.5
seq1425,0.32,0.24,0.2,0.36,0.48
seq1426,0.387,0.226,0.258,0.387,0.484
seq1427,0.375,0.375,0.417,0.292,0.25
seq1428,0.333,0.417,0.458,0.167,0.292
seq1429,0.3,0.4,0.65,0.3,0.1
seq1430,0.125,0.688,0.75,0.062,0.188
seq1431,0.28,0.36,0.76,0.12,0.16
seq1432,0.5,0.278,0.583,0.333,0.139
seq1433,0.486,0.286,0.571,0.286,0.171
seq1434,0.286,0.286,0.393,0.25,0.357
seq1435,0.476,0.238,0.714,0.19,0.079
seq1436,0.5,0.312,0.5,0.25,0.125
seq1437,0.607,0.286,0.393,0.286,0.179
seq1438,0.37,0.333,0.407,0.296,0.222
seq1439,0.425,0.333,0.448,0.299,0.253
seq1440,0.339,0.21,0.435,0.306,0.258
seq1441,0.45,0.3,0.575,0.225,0.125
seq1442,0.432,0.27,0.432,0.216,0.27
seq1443,0.325,0.325,0.475,0.275,0.3
seq1444,0.303,0.333,0.576,0.152,0.152
seq1445,0.324,0.353,0.559,0.147,0.235
seq1446,0.406,0.25,0.5,0.188,0.156
seq1447,0.548,0.226,0.484,0.387,0.097
seq1448,0.386,0.281,0.404,0.351,0.211
seq1449,0.632,0.105,0.579,0.263,0.105
seq1450,0.5,0.25,0.7,0.1,0.25
seq1451,0.4,0.267,0.667,0.133,0.2
seq1452,0.447,0.263,0.579,0.237,0.158
seq1453,0.483,0.172,0.586,0.241,0.172
seq1454,0.567,0.167,0.6,0.233,0.133
seq1455,0.515,0.212,0.606,0.242,0.152
seq1456,0.405,0.297,0.595,0.216,0.135
seq1457,0.381,0.333,0.619,0.333,0.048
seq1458,0.429,0.286,0.571,0.286,0.19
seq1459,0.39,0.203,0.271,0.441,0.356
seq1460,0.355,0.258,0.29,0.581,0.355
seq1461,0.389,0.333,0.278,0.056,0.333
seq1462,0.45,0.312,0.562,0.212,0.2
seq1463,0.45,0.375,0.512,0.212,0.288
seq1464,0.385,0.333,0.513,0.333,0.154
seq1465,0.333,0.667,0.667,0.083,0.0
seq1466,0.467,0.333,0.267,0.4,0.2
seq1467,0.531,0.198,0.358,0.395,0.259
seq1468,0.583,0.417,0.667,0.0,0.0
seq1469,0.467,0.533,0.6,0.0,0.0
seq1470,0.316,0.526,0.632,0.316,0.053
seq1471,0.316,0.526,0.632,0.316,0.053
seq1472,0.609,0.304,0.304,0.522,0.13
seq1473,0.391,0.348,0.348,0.261,0.304
seq1474,0.565,0.304,0.652,0.217,0.0
seq1475,0.522,0.391,0.478,0.217,0.217
seq1476,0.652,0.261,0.565,0.217,0.087
seq1477,0.478,0.304,0.391,0.391,0.087
seq1478,0.45,0.35,0.65,0.15,0.2
seq1479,0.571,0.214,0.5,0.286,0.214
seq1480,0.529,0.294,0.588,0.353,0.059
seq1481,0.56,0.2,0.493,0.32,0.173
seq1482,0.283,0.435,0.37,0.326,0.326
seq1483,0.375,0.375,0.531,0.219,0.25
seq1484,0.2,0.533,0.6,0.1,0.3
seq1485,0.312,0.406,0.594,0.125,0.312
seq1486,0.289,0.474,0.711,0.053,0.263
seq1487,0.296,0.444,0.37,0.259,0.407
seq1488,0.167,0.375,0.5,0.167,0.375
seq1489,0.417,0.25,0.458,0.271,0.229
seq1490,0.265,0.347,0.469,0.265,0.245
seq1491,0.233,0.326,0.488,0.279,0.233
seq1492,0.462,0.269,0.577,0.308,0.115
seq1493,0.375,0.25,0.583,0.167,0.25
seq1494,0.316,0.351,0.737,0.14,0.123
seq1495,0.217,0.304,0.717,0.087,0.174
seq1496,0.371,0.257,0.514,0.429,0.143
seq1497,0.306,0.347,0.653,0.143,0.245
seq1498,0.186,0.326,0.814,0.116,0.07
seq1499,0.593,0.222,0.63,0.148,0.185
seq1500,0.364,0.212,0.606,0.152,0.242
seq1501,0.256,0.326,0.814,0.093,0.093
seq1502,0.3,0.433,0.8,0.033,0.167
seq1503,0.37,0.217,0.717,0.239,0.087
seq1504,0.452,0.194,0.419,0.323,0.323
seq1505,0.346,0.385,0.385,0.269,0.346
seq1506,0.111,0.556,0.511,0.133,0.4
seq1507,0.273,0.5,0.364,0.273,0.409
seq1508,0.321,0.208,0.604,0.208,0.226
seq1509,0.542,0.271,0.354,0.5,0.146
seq1510,0.273,0.273,0.636,0.182,0.091
seq1511,0.389,0.167,0.167,0.5,0.333
seq1512,0.211,0.105,0.263,0.474,0.421
seq1513,0.267,0.2,0.267,0.467,0.267
seq1514,0.337,0.316,0.51,0.296,0.235
seq1515,0.4,0.309,0.418,0.218,0.273
seq1516,0.417,0.312,0.562,0.271,0.083
seq1517,0.378,0.378,0.511,0.2,0.089
seq1518,0.391,0.326,0.478,0.174,0.174
seq1519,0.333,0.267,0.533,0.467,0.133
seq1520,0.613,0.097,0.29,0.387,0.258
seq1521,0.2,0.267,0.533,0.333,0.133
seq1522,0.182,0.409,0.432,0.25,0.341
seq1523,0.326,0.304,0.435,0.304,0.283
seq1524,0.171,0.314,0.457,0.314,0.257
seq1525,0.211,0.421,0.684,0.211,0.105
seq1526,0.385,0.231,0.231,0.231,0.538
seq1527,0.261,0.326,0.457,0.283,0.304
seq1528,0.365,0.432,0.568,0.203,0.23
seq1529,0.219,0.469,0.531,0.156,0.312
seq1530,0.35,0.4,0.4,0.3,0.35
seq1531,0.45,0.3,0.4,0.3,0.3
seq1532,0.4,0.4,0.5,0.2,0.25
seq1533,0.439,0.293,0.463,0.244,0.22
seq1534,0.333,0.417,0.5,0.25,0.25
seq1535,0.273,0.309,0.4,0.273,0.345
seq1536,0.355,0.28,0.516,0.237,0.28
seq1537,0.2,0.4,0.533,0.167,0.3
seq1538,0.494,0.284,0.432,0.358,0.222
seq1539,0.34,0.383,0.447,0.277,0.234
seq1540,0.326,0.391,0.457,0.261,0.196
seq1541,0.288,0.327,0.423,0.327,0.25
seq1542,0.319,0.34,0.426,0.319,0.213
seq1543,0.383,0.383,0.404,0.149,0.319
seq1544,0.396,0.358,0.472,0.321,0.17
seq1545,0.333,0.386,0.456,0.298,0.193
seq1546,0.404,0.316,0.456,0.333,0.175
seq1547,0.333,0.289,0.444,0.244,0.289
seq1548,0.393,0.286,0.518,0.339,0.161
seq1549,0.375,0.292,0.354,0.333,0.271
seq1550,0.406,0.219,0.812,0.094,0.094
seq1551,0.295,0.328,0.738,0.148,0.131
seq1552,0.24,0.4,0.44,0.26,0.22
seq1553,0.397,0.379,0.483,0.207,0.224
seq1554,0.368,0.353,0.5,0.353,0.176
seq1555,0.364,0.327,0.491,0.291,0.164
seq1556,0.323,0.308,0.431,0.385,0.246
seq1557,0.283,0.3,0.383,0.3,0.3
seq1558,0.291,0.364,0.455,0.309,0.218
seq1559,0.328,0.31,0.414,0.379,0.224
seq1560,0.396,0.358,0.453,0.321,0.264
seq1561,0.327,0.382,0.455,0.345,0.255
seq1562,0.291,0.436,0.509,0.327,0.2
seq1563,0.333,0.333,0.396,0.375,0.229
seq1564,0.312,0.333,0.375,0.396,0.271
seq1565,0.34,0.26,0.32,0.34,0.36
seq1566,0.231,0.365,0.481,0.308,0.269
seq1567,0.383,0.333,0.467,0.233,0.267
seq1568,0.365,0.381,0.397,0.333,0.254
seq1569,0.429,0.254,0.444,0.381,0.238
seq1570,0.406,0.281,0.438,0.344,0.234
seq1571,0.384,0.274,0.37,0.411,0.274
seq1572,0.315,0.315,0.407,0.296,0.278
seq1573,0.283,0.396,0.528,0.302,0.17
seq1574,0.286,0.339,0.464,0.393,0.143
seq1575,0.327,0.455,0.455,0.273,0.273
seq1576,0.245,0.396,0.396,0.358,0.321
seq1577,0.246,0.459,0.459,0.279,0.311
seq1578,0.264,0.434,0.434,0.264,0.264
seq1579,0.327,0.404,0.519,0.231,0.212
seq1580,0.224,0.517,0.466,0.241,0.259
seq1581,0.25,0.393,0.429,0.321,0.196
seq1582,0.346,0.442,0.481,0.25,0.25
seq1583,0.36,0.36,0.4,0.4,0.18
seq1584,0.317,0.397,0.381,0.381,0.27
seq1585,0.313,0.463,0.418,0.284,0.224
seq1586,0.295,0.41,0.459,0.279,0.295
seq1587,0.339,0.356,0.492,0.22,0.305
seq1588,0.278,0.354,0.43,0.367,0.329
seq1589,0.273,0.364,0.418,0.364,0.291
seq1590,0.361,0.344,0.492,0.328,0.18
seq1591,0.341,0.39,0.512,0.268,0.244
seq1592,0.3,0.42,0.46,0.38,0.22
seq1593,0.339,0.357,0.393,0.393,0.232
seq1594,0.328,0.397,0.431,0.259,0.293
seq1595,0.237,0.305,0.475,0.373,0.271
seq1596,0.296,0.296,0.352,0.352,0.37
seq1597,0.226,0.396,0.491,0.264,0.283
seq1598,0.25,0.383,0.383,0.3,0.4
seq1599,0.266,0.391,0.469,0.312,0.234
seq1600,0.234,0.344,0.438,0.344,0.266
seq1601,0.3,0.317,0.367,0.3,0.35
seq1602,0.246,0.386,0.456,0.246,0.298
seq1603,0.365,0.338,0.473,0.27,0.284
seq1604,0.457,0.348,0.587,0.261,0.109
seq1605,0.279,0.412,0.441,0.279,0.279
seq1606,0.234,0.391,0.406,0.312,0.25
seq1607,0.226,0.396,0.377,0.34,0.358
seq1608,0.32,0.4,0.58,0.22,0.24
seq1609,0.375,0.297,0.516,0.266,0.172
seq1610,0.349,0.333,0.444,0.317,0.206
seq1611,0.356,0.288,0.458,0.203,0.288
seq1612,0.22,0.356,0.424,0.203,0.39
seq1613,0.293,0.414,0.466,0.276,0.241
seq1614,0.351,0.351,0.491,0.281,0.263
seq1615,0.228,0.474,0.439,0.193,0.333
seq1616,0.369,0.354,0.477,0.246,0.231
seq1617,0.269,0.403,0.493,0.343,0.239
seq1618,0.395,0.368,0.579,0.158,0.211
seq1619,0.321,0.37,0.383,0.272,0.395
seq1620,0.316,0.404,0.456,0.228,0.263
seq1621,0.362,0.333,0.435,0.261,0.29
seq1622,0.382,0.327,0.436,0.345,0.255
seq1623,0.271,0.424,0.508,0.203,0.288
seq1624,0.322,0.339,0.424,0.39,0.186
seq1625,0.393,0.328,0.426,0.361,0.197
seq1626,0.333,0.333,0.456,0.316,0.263
seq1627,0.367,0.383,0.4,0.367,0.267
seq1628,0.298,0.386,0.456,0.333,0.246
seq1629,0.317,0.383,0.517,0.267,0.217
seq1630,0.255,0.455,0.545,0.164,0.291
seq1631,0.365,0.385,0.385,0.365,0.25
seq1632,0.353,0.373,0.51,0.353,0.157
seq1633,0.34,0.38,0.44,0.36,0.2
seq1634,0.431,0.353,0.412,0.314,0.314
seq1635,0.406,0.344,0.406,0.297,0.312
seq1636,0.348,0.478,0.543,0.348,0.13
seq1637,0.314,0.451,0.412,0.294,0.314
seq1638,0.431,0.373,0.549,0.255,0.176
seq1639,0.38,0.4,0.46,0.3,0.2
seq1640,0.308,0.423,0.385,0.404,0.269
seq1641,0.283,0.433,0.483,0.333,0.2
seq1642,0.265,0.408,0.347,0.347,0.347
seq1643,0.481,0.352,0.407,0.426,0.148
seq1644,0.214,0.446,0.429,0.286,0.286
seq1645,0.417,0.367,0.467,0.35,0.1
seq1646,0.4,0.291,0.4,0.345,0.218
seq1647,0.375,0.357,0.464,0.25,0.268
seq1648,0.518,0.286,0.482,0.339,0.179
seq1649,0.5,0.278,0.426,0.37,0.167
seq1650,0.41,0.311,0.377,0.377,0.246
seq1651,0.316,0.333,0.421,0.351,0.281
seq1652,0.462,0.308,0.354,0.4,0.2
seq1653,0.426,0.37,0.407,0.37,0.259
seq1654,0.369,0.323,0.446,0.431,0.169
seq1655,0.404,0.298,0.368,0.404,0.263
seq1656,0.415,0.283,0.396,0.396,0.245
seq1657,0.397,0.379,0.431,0.328,0.224
seq1658,0.388,0.284,0.403,0.328,0.299
seq1659,0.329,0.356,0.397,0.288,0.329
seq1660,0.345,0.309,0.382,0.364,0.236
seq1661,0.241,0.414,0.5,0.293,0.241
seq1662,0.224,0.429,0.449,0.286,0.265
seq1663,0.273,0.418,0.4,0.291,0.327
seq1664,0.24,0.4,0.42,0.3,0.32
seq1665,0.208,0.472,0.415,0.283,0.302
seq1666,0.226,0.358,0.472,0.321,0.189
seq1667,0.24,0.36,0.42,0.34,0.26
seq1668,0.3,0.38,0.5,0.4,0.16
seq1669,0.333,0.431,0.431,0.294,0.255
seq1670,0.404,0.316,0.456,0.386,0.193
seq1671,0.426,0.389,0.426,0.333,0.222
seq1672,0.302,0.381,0.317,0.349,0.27
seq1673,0.455,0.227,0.364,0.394,0.227
seq1674,0.291,0.291,0.473,0.255,0.291
seq1675,0.279,0.361,0.393,0.246,0.41
seq1676,0.291,0.382,0.491,0.255,0.273
seq1677,0.344,0.391,0.406,0.391,0.219
seq1678,0.388,0.328,0.388,0.313,0.254
seq1679,0.312,0.355,0.43,0.323,0.258
seq1680,0.312,0.312,0.479,0.312,0.208
seq1681,0.31,0.32,0.47,0.36,0.2
seq1682,0.418,0.364,0.436,0.382,0.2
seq1683,0.327,0.4,0.4,0.364,0.309
seq1684,0.379,0.431,0.466,0.362,0.224
seq1685,0.306,0.355,0.387,0.403,0.29
seq1686,0.31,0.362,0.466,0.207,0.276
seq1687,0.381,0.397,0.429,0.254,0.254
seq1688,0.315,0.37,0.407,0.315,0.333
seq1689,0.338,0.338,0.451,0.352,0.169
seq1690,0.317,0.286,0.492,0.254,0.222
seq1691,0.357,0.339,0.464,0.321,0.214
seq1692,0.306,0.355,0.5,0.323,0.145
seq1693,0.304,0.348,0.522,0.333,0.159
seq1694,0.317,0.381,0.444,0.413,0.175
seq1695,0.233,0.433,0.483,0.233,0.267
seq1696,0.339,0.393,0.375,0.304,0.357
seq1697,0.469,0.347,0.408,0.408,0.184
seq1698,0.365,0.404,0.5,0.308,0.192
seq1699,0.49,0.333,0.392,0.294,0.333
seq1700,0.439,0.351,0.298,0.333,0.351
seq1701,0.333,0.373,0.569,0.235,0.275
seq1702,0.264,0.415,0.623,0.189,0.208
seq1703,0.365,0.365,0.446,0.27,0.243
seq1704,0.433,0.328,0.403,0.284,0.239
seq1705,0.413,0.333,0.387,0.253,0.293
seq1706,0.25,0.426,0.471,0.309,0.235
seq1707,0.427,0.293,0.439,0.354,0.232
seq1708,0.4,0.338,0.45,0.275,0.25
