ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq1128,0.00,0.00,8.00,6.92,0.00,3.75,0.00,2.30,4.08,8.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00
seq1129,35.88,12.75,40.03,19.91,41.59,12.15,30.17,22.18,6.06,34.24,0.00,14.28,32.92,22.95,39.22,23.15,19.09,47.42,0.00,30.02
seq1130,0.00,6.82,12.75,8.62,0.00,18.23,14.17,0.00,12.48,0.00,9.97,0.00,0.00,9.43,6.22,27.16,29.03,0.00,0.00,11.10
seq1131,19.79,18.26,24.46,19.95,29.47,29.30,31.81,52.22,8.49,11.92,28.02,24.56,28.09,14.76,34.29,15.09,52.22,15.92,0.00,28.09
seq1132,0.00,4.88,0.00,25.42,19.74,10.34,0.00,7.11,15.83,14.58,0.00,22.32,16.83,0.00,0.00,8.82,14.83,6.97,0.00,19.74
seq1133,15.25,15.08,29.05,25.63,0.00,23.68,16.73,31.95,19.84,18.62,0.00,26.73,61.08,43.46,18.50,32.28,34.58,14.41,0.00,44.14
seq1134,0.00,19.92,0.00,0.00,0.00,8.67,0.00,18.00,19.92,13.25,31.35,21.64,7.26,22.92,4.90,22.23,17.57,20.14,33.14,14.69
seq1135,9.62,20.24,0.00,0.00,18.34,16.40,0.00,15.37,0.00,11.64,0.00,14.06,21.60,15.19,0.00,22.27,13.68,7.97,0.00,0.00
seq1136,6.59,0.00,38.52,0.00,0.00,11.29,0.00,8.30,23.93,16.05,0.00,34.44,0.00,0.00,0.00,18.30,12.20,12.24,62.02,34.37
seq1137,15.32,5.10,0.00,24.74,9.76,3.79,33.03,0.00,26.17,0.00,0.00,0.00,20.74,16.51,10.91,14.26,0.00,33.03,0.00,27.71
seq1138,6.38,17.32,0.00,27.45,0.00,10.39,0.00,17.02,20.31,12.41,0.00,36.31,0.00,16.63,31.45,23.74,5.83,17.90,20.12,24.31
seq1139,20.86,10.09,0.00,41.69,29.25,10.55,17.94,22.46,36.79,23.25,0.00,20.02,26.39,19.10,12.36,16.98,40.04,33.33,0.00,29.29
seq1140,0.00,14.21,15.44,23.04,0.00,23.04,11.84,9.65,12.88,7.39,0.00,6.78,16.64,0.00,11.04,0.00,10.21,0.00,21.20,18.00
seq1141,6.31,0.00,0.00,0.00,9.41,7.81,0.00,11.76,0.00,11.76,15.06,5.06,0.00,0.00,15.06,0.00,10.47,5.19,6.31,8.59
seq1142,7.10,0.00,20.58,17.66,26.41,5.70,15.03,7.66,5.11,10.90,15.16,23.81,0.00,16.28,0.00,0.00,0.00,17.23,0.00,0.00
seq1143,17.56,0.00,0.00,0.00,0.00,12.15,0.00,29.37,0.00,0.00,9.09,8.55,2.70,5.35,0.00,23.43,9.39,0.00,0.00,11.62
seq1144,24.93,0.00,26.29,27.71,57.21,16.06,11.27,40.01,19.69,44.14,0.00,39.97,25.30,30.78,21.92,6.98,27.01,39.21,25.25,24.81
seq1145,7.83,0.00,0.00,0.00,12.72,0.00,0.00,5.06,14.28,8.19,0.00,0.00,7.28,0.00,0.00,4.35,0.00,0.00,0.00,0.00
seq1146,15.44,7.91,0.00,15.44,12.71,10.79,0.00,8.61,11.60,9.83,0.00,0.00,9.38,0.00,19.52,12.80,10.79,6.17,0.00,0.00
seq1147,12.39,34.36,20.44,20.84,23.48,4.82,0.00,12.83,8.93,13.30,14.89,26.80,0.00,0.00,14.93,38.54,25.93,19.78,0.00,0.00
seq1148,5.85,0.00,23.79,0.00,0.00,12.34,0.00,18.67,7.89,12.28,0.00,16.03,18.50,0.00,18.48,14.24,26.74,11.59,0.00,0.00
seq1149,5.54,0.00,6.93,0.00,0.00,6.93,2.36,0.00,12.07,2.73,0.00,0.00,0.00,0.00,0.00,10.36,0.00,0.00,0.00,0.00
seq1150,46.99,9.41,51.12,25.55,37.28,13.11,22.14,30.99,10.77,27.10,0.00,55.14,8.22,32.57,32.16,42.97,40.49,46.70,0.00,27.91
seq1151,21.32,0.00,18.50,0.00,7.16,10.03,0.00,6.70,0.00,16.34,0.00,17.21,16.15,28.38,2.71,25.21,0.00,0.00,0.00,0.00
seq1152,31.14,6.50,18.85,0.00,22.23,5.70,0.00,27.71,0.00,16.00,0.00,10.91,10.12,12.32,13.82,16.51,0.00,15.47,0.00,0.00
seq1153,13.43,37.43,16.69,12.72,23.61,13.33,57.89,18.69,12.76,47.93,70.88,39.08,28.83,0.00,23.77,41.53,22.92,35.01,0.00,36.02
seq1154,6.42,0.00,0.00,0.00,14.65,0.00,0.00,7.89,7.17,7.89,0.00,0.00,9.65,12.05,9.06,0.00,0.00,10.25,8.53,10.25
seq1155,0.00,5.41,20.51,0.00,6.97,20.43,26.74,39.12,21.26,35.58,0.00,21.45,0.00,15.45,26.14,8.75,7.50,0.00,0.00,32.42
seq1156,11.04,0.00,0.00,22.04,22.04,3.55,4.48,8.78,15.71,7.14,17.04,18.54,0.00,17.04,0.00,0.00,0.00,10.17,0.00,0.00
seq1157,30.82,16.62,20.01,33.92,0.00,28.12,18.46,27.74,13.04,30.45,32.67,41.53,29.75,42.94,57.23,21.13,29.06,17.22,43.33,50.80
seq1158,19.12,23.04,35.83,40.63,28.36,28.24,22.88,20.11,15.15,29.96,0.00,27.45,25.20,27.15,14.58,31.99,20.53,22.55,44.20,20.72
seq1159,24.45,21.15,31.33,20.91,35.61,31.41,21.57,15.23,17.77,23.49,26.54,38.48,20.99,19.45,34.75,18.32,25.27,15.51,52.17,41.79
seq1160,9.35,8.05,0.00,0.00,14.19,15.62,9.62,9.62,12.05,11.75,0.00,19.05,9.90,10.38,7.61,12.95,9.52,0.00,0.00,0.00
seq1161,12.07,0.00,0.00,0.00,0.00,12.07,0.00,4.58,10.36,6.92,0.00,0.00,8.93,0.00,5.54,0.00,0.00,0.00,3.92,0.00
seq1162,0.00,0.00,0.00,0.00,11.39,16.06,0.00,14.28,0.00,0.00,0.00,0.00,4.69,0.00,3.38,0.00,0.00,12.72,3.79,0.00
seq1163,0.00,0.00,17.57,12.41,6.57,7.05,6.21,8.41,10.61,16.09,0.00,7.05,14.78,10.61,0.00,0.00,0.00,9.23,0.00,0.00
seq1164,49.25,10.13,23.13,21.83,33.07,11.22,60.37,35.49,28.47,24.95,0.00,33.01,12.91,22.23,14.51,20.15,25.40,25.46,66.01,56.90
seq1165,11.78,10.24,38.54,0.00,24.46,12.74,18.00,32.46,32.89,16.33,0.00,14.89,28.80,0.00,21.20,14.31,24.61,18.80,27.76,27.76
seq1166,16.74,6.77,17.56,0.00,11.45,20.17,0.00,14.26,0.00,0.00,0.00,12.50,0.00,15.09,9.88,9.88,15.94,14.38,22.23,17.03
seq1167,38.94,72.10,0.00,0.00,47.49,21.14,96.89,33.30,62.83,34.36,0.00,107.35,22.31,90.60,13.58,8.17,22.66,55.80,0.00,19.63
seq1168,28.16,4.15,30.03,19.53,26.41,10.50,0.00,0.00,23.28,11.10,0.00,20.66,15.41,19.53,28.16,8.90,14.58,7.38,0.00,13.35
seq1169,0.00,3.84,28.03,20.03,0.00,10.68,0.00,0.00,20.21,8.81,0.00,18.83,14.83,17.77,21.37,11.46,9.54,9.72,0.00,24.43
seq1170,14.35,0.00,0.00,0.00,7.57,0.00,20.50,22.19,17.04,4.41,0.00,0.00,12.04,0.00,0.00,14.96,0.00,9.88,16.35,8.24
seq1171,11.27,37.52,40.66,22.22,41.35,17.05,56.61,24.02,22.05,19.93,37.05,83.90,32.21,30.00,33.59,13.43,35.79,17.96,45.52,27.86
seq1172,17.24,0.00,0.00,13.86,0.00,15.14,10.05,0.00,6.57,3.81,11.86,0.00,8.25,0.00,0.00,0.00,15.52,18.23,11.14,0.00
seq1173,24.17,12.78,18.36,29.59,54.02,9.38,0.00,20.09,33.85,33.52,29.43,19.61,37.78,39.23,6.37,19.17,34.83,19.45,27.23,0.00
seq1174,7.50,0.00,0.00,0.00,0.00,14.06,9.56,8.40,6.07,4.67,6.27,0.00,0.00,0.00,0.00,8.67,0.00,0.00,0.00,0.00
seq1175,14.58,0.00,19.93,0.00,0.00,6.54,0.00,0.00,25.04,11.88,0.00,10.08,12.59,0.00,10.52,0.00,12.24,6.16,9.58,0.00
seq1176,5.69,0.00,0.00,0.00,9.38,11.08,0.00,0.00,8.00,6.08,0.00,5.69,0.00,0.00,6.92,9.09,5.54,0.00,6.15,0.00
seq1177,6.96,20.03,17.77,0.00,15.37,7.73,28.03,0.00,6.61,24.43,0.00,14.83,0.00,0.00,9.93,16.83,20.03,8.75,25.17,0.00
seq1178,8.83,21.91,0.00,0.00,0.00,10.46,13.10,0.00,8.96,19.23,0.00,17.66,0.00,0.00,15.55,10.83,0.00,9.43,18.65,16.91
seq1179,0.00,7.06,0.00,0.00,15.06,11.39,0.00,0.00,3.07,6.94,0.00,0.00,10.24,0.00,0.00,8.28,8.72,0.00,6.47,8.06
seq1180,0.00,9.65,0.00,11.84,14.21,20.21,12.24,16.64,8.54,15.44,11.60,10.21,0.00,13.52,0.00,12.04,5.83,12.79,12.80,0.00
seq1181,11.64,25.11,26.65,57.34,0.00,6.90,0.00,41.01,28.96,32.94,0.00,37.87,51.62,17.41,33.70,48.06,15.65,84.14,88.01,56.02
seq1182,42.64,9.04,18.81,28.50,34.84,24.73,23.72,25.52,49.85,12.04,0.00,69.04,6.31,49.28,78.06,22.73,36.64,0.00,0.00,76.16
seq1183,22.19,0.00,0.00,0.00,20.50,13.52,11.84,18.96,6.14,0.00,20.50,0.00,0.00,9.05,5.22,13.58,9.88,0.00,0.00,0.00
seq1184,0.00,10.81,0.00,0.00,11.33,7.31,12.31,0.00,3.36,4.79,0.00,7.81,7.33,0.00,0.00,0.00,0.00,8.56,0.00,14.06
seq1185,24.04,0.00,0.00,0.00,14.35,12.96,8.64,9.54,4.78,12.24,12.19,10.16,0.00,0.00,8.00,22.19,12.56,12.72,0.00,10.64
seq1186,0.00,8.06,0.00,0.00,8.12,0.00,8.28,7.41,6.53,9.41,0.00,0.00,8.28,11.39,12.72,0.00,0.00,6.47,11.39,0.00
seq1187,11.33,6.53,0.00,0.00,0.00,7.79,0.00,7.07,6.36,4.77,0.00,0.00,0.00,0.00,2.92,7.73,11.33,0.00,0.00,0.00
seq1188,0.00,6.15,0.00,0.00,0.00,4.42,8.00,0.00,6.92,7.08,0.00,0.00,11.08,0.00,9.38,0.00,0.00,3.42,0.00,4.25
seq1189,0.00,0.00,0.00,0.00,11.39,0.00,14.28,8.72,8.12,3.07,16.06,9.39,0.00,0.00,6.47,8.06,12.72,11.76,0.00,8.28
seq1190,0.00,10.23,0.00,0.00,0.00,18.23,13.86,5.15,6.94,6.15,16.59,10.59,10.05,0.00,14.00,12.77,0.00,20.05,0.00,10.23
seq1191,0.00,0.00,0.00,0.00,0.00,11.39,5.19,13.29,10.28,8.28,0.00,8.12,0.00,9.39,14.28,7.06,0.00,0.00,4.81,0.00
seq1192,0.00,0.00,0.00,0.00,0.00,19.46,0.00,19.18,13.41,25.17,0.00,16.90,13.59,14.14,5.53,10.61,27.03,13.59,20.41,0.00
seq1193,0.00,0.00,0.00,0.00,0.00,13.89,14.14,3.85,9.35,13.46,0.00,25.17,14.62,0.00,8.88,0.00,9.32,0.00,0.00,13.79
seq1194,29.02,23.72,45.21,19.83,60.97,25.13,53.82,29.85,17.53,8.95,66.99,23.96,57.61,97.41,26.27,16.27,33.18,15.04,68.29,0.00
seq1195,8.65,0.00,14.19,0.00,16.25,4.94,0.00,12.95,5.16,6.84,0.00,0.00,0.00,0.00,0.00,14.19,0.00,3.61,0.00,0.00
seq1196,10.05,0.00,16.09,0.00,19.22,6.86,7.50,10.23,8.59,6.57,0.00,19.22,0.00,21.04,0.00,0.00,13.65,4.85,0.00,0.00
seq1197,8.93,8.56,0.00,0.00,6.69,0.00,0.00,9.56,3.60,8.59,0.00,8.00,7.65,0.00,8.00,0.00,0.00,0.00,0.00,0.00
seq1198,0.00,0.00,6.53,0.00,4.92,5.08,0.00,0.00,7.73,4.36,0.00,9.87,7.07,0.00,0.00,4.36,0.00,0.00,0.00,0.00
seq1199,13.52,0.00,15.71,0.00,6.43,0.00,11.60,13.52,7.54,9.13,11.52,0.00,0.00,21.20,12.05,7.83,0.00,8.21,21.20,0.00
seq1200,14.35,0.00,18.96,11.52,19.44,0.00,16.64,12.96,22.19,4.96,20.50,0.00,0.00,16.32,6.43,0.00,12.50,11.84,15.27,14.35
seq1201,34.06,77.93,57.12,86.55,25.39,11.33,0.00,43.52,48.57,24.34,129.01,40.98,11.20,21.93,15.14,20.21,16.52,35.70,82.15,48.12
seq1202,5.26,0.00,0.00,28.80,0.00,13.72,0.00,0.00,3.63,0.00,0.00,0.00,7.83,22.28,31.15,0.00,20.09,0.00,0.00,0.00
seq1203,24.97,18.42,0.00,12.81,18.03,15.58,0.00,18.57,17.24,0.00,0.00,11.26,0.00,0.00,34.13,15.97,6.19,17.25,30.66,21.82
seq1204,12.05,4.47,7.89,0.00,9.05,4.82,0.00,14.65,0.00,9.05,0.00,0.00,0.00,0.00,0.00,0.00,5.79,15.26,9.58,0.00
seq1205,11.91,0.00,20.21,0.00,8.78,13.86,0.00,14.78,6.19,5.71,0.00,0.00,11.21,0.00,0.00,8.59,11.54,0.00,20.21,0.00
seq1206,9.40,0.00,0.00,0.00,25.56,18.47,18.31,18.34,16.31,37.56,0.00,0.00,30.22,23.33,4.65,15.34,0.00,16.56,22.54,19.98
seq1207,12.18,0.00,15.83,34.69,30.08,11.66,0.00,0.00,15.10,53.02,24.24,19.81,24.20,10.73,14.45,47.45,0.00,45.75,21.09,18.00
seq1208,22.89,6.62,0.00,19.41,12.31,11.36,12.89,0.00,15.07,0.00,0.00,17.29,27.66,0.00,17.02,23.16,19.60,17.85,0.00,36.30
seq1209,30.49,6.58,12.77,13.93,0.00,5.54,11.59,0.00,14.51,0.00,0.00,19.32,26.54,0.00,14.53,16.46,39.02,19.32,26.23,11.95
seq1210,23.17,6.16,26.31,17.71,24.31,8.65,20.98,15.23,0.00,0.00,0.00,14.22,30.02,0.00,6.64,14.41,0.00,22.02,22.29,20.02
seq1211,11.16,0.00,0.00,0.00,0.00,17.05,7.72,5.76,7.65,4.94,8.63,0.00,8.63,0.00,9.47,6.94,0.00,0.00,0.00,0.00
seq1212,21.71,0.00,21.49,44.45,94.62,9.83,82.60,34.83,27.29,25.86,42.59,30.07,48.43,20.68,30.86,25.59,30.68,19.04,52.69,33.03
seq1213,17.70,0.00,0.00,24.24,15.29,6.21,21.58,8.50,9.83,7.52,27.39,11.48,0.00,19.53,15.09,0.00,0.00,0.00,18.48,0.00
seq1214,0.00,0.00,8.07,17.93,16.04,13.79,0.00,6.27,15.18,11.32,0.00,12.39,0.00,0.00,2.67,27.03,0.00,0.00,0.00,0.00
seq1215,14.28,12.72,16.06,0.00,8.06,12.72,8.72,0.00,7.41,8.28,0.00,16.06,0.00,11.39,4.36,8.72,0.00,8.06,0.00,0.00
seq1216,28.25,37.40,13.28,23.91,8.87,16.45,0.00,14.51,9.61,19.02,0.00,23.41,48.71,29.44,7.94,19.56,51.23,31.68,0.00,0.00
seq1217,29.43,21.21,47.65,33.19,19.39,24.31,98.22,63.66,44.88,46.26,0.00,65.45,10.92,68.40,15.16,26.43,33.46,23.91,66.87,39.22
seq1218,84.70,24.73,51.36,48.19,33.64,9.08,69.01,42.85,32.14,24.80,0.00,30.28,13.98,44.92,29.01,67.26,26.35,24.79,0.00,54.68
seq1219,0.00,6.12,21.82,0.00,32.34,9.66,20.16,29.08,12.03,13.03,0.00,26.24,29.08,0.00,9.03,0.00,26.24,32.34,13.68,11.60
seq1220,24.05,6.41,0.00,17.73,21.64,13.70,17.73,26.65,26.65,22.92,0.00,11.26,16.92,18.69,18.00,8.18,17.57,28.11,0.00,19.36
seq1221,0.00,9.62,38.29,0.00,36.94,8.76,17.85,12.94,15.33,51.09,35.82,28.94,17.06,14.26,19.81,28.29,26.76,0.00,0.00,18.91
seq1222,0.00,0.00,0.00,22.19,9.30,7.29,0.00,12.04,4.48,4.96,12.96,0.00,12.04,0.00,24.04,8.24,18.96,12.50,0.00,0.00
seq1223,14.35,0.00,16.35,0.00,20.50,13.52,0.00,9.12,7.92,7.60,0.00,18.52,12.52,0.00,0.00,6.23,0.00,17.26,23.19,0.00
seq1224,6.42,0.00,0.00,0.00,17.05,8.06,0.00,5.17,6.63,10.84,13.25,14.65,11.05,0.00,0.00,7.37,0.00,12.05,0.00,0.00
seq1225,0.00,0.00,0.00,0.00,0.00,3.37,0.00,0.00,12.71,3.25,0.00,21.20,12.50,0.00,12.96,0.00,15.27,9.38,0.00,0.00
seq1226,40.77,10.26,13.75,23.38,20.98,32.08,32.02,24.73,11.05,11.21,35.35,16.30,37.39,22.20,36.74,22.68,19.11,14.95,0.00,32.62
seq1227,42.56,7.33,20.36,17.24,29.73,28.81,29.05,27.60,6.54,9.29,19.53,40.75,31.33,31.25,38.31,19.05,18.02,39.49,0.00,28.51
seq1228,6.36,0.00,0.00,0.00,0.00,0.00,6.36,8.93,0.00,6.93,0.00,6.93,2.58,8.93,0.00,10.36,10.36,5.08,0.00,0.00
seq1229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.00,0.00,4.18,3.27,0.00
seq1230,11.08,0.00,0.00,6.92,6.15,8.00,0.00,9.38,3.82,0.00,0.00,0.00,0.00,0.00,0.00,4.92,0.00,7.08,6.15,0.00
seq1231,6.39,0.00,11.16,0.00,17.05,10.21,0.00,3.69,12.32,7.28,0.00,0.00,0.00,13.68,0.00,2.67,0.00,0.00,8.95,0.00
seq1232,7.45,0.00,10.05,0.00,19.05,7.25,5.37,12.77,10.59,7.90,15.14,0.00,0.00,0.00,11.14,18.23,0.00,11.86,16.59,0.00
seq1233,0.00,4.00,13.54,0.00,0.00,18.54,0.00,15.71,0.00,14.54,0.00,20.21,5.68,10.61,5.61,0.00,0.00,14.54,0.00,8.09
seq1234,42.89,27.08,29.05,0.00,20.89,26.44,26.57,21.89,8.81,13.56,29.27,12.27,27.73,25.87,11.91,24.56,28.85,23.18,38.52,54.64
seq1235,3.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.74,14.19,0.00,0.00
seq1236,8.63,0.00,0.00,0.00,0.00,20.50,0.00,0.00,3.50,0.00,0.00,0.00,6.12,0.00,0.00,13.19,0.00,18.52,0.00,0.00
seq1237,10.13,24.78,15.10,0.00,0.00,8.50,23.28,10.37,16.04,8.10,0.00,0.00,12.00,0.00,15.55,15.94,10.90,10.71,12.06,0.00
seq1238,12.18,5.35,0.00,17.77,0.00,9.11,9.17,14.17,13.52,14.62,0.00,9.56,0.00,0.00,0.00,8.75,14.83,15.37,21.86,0.00
seq1239,7.47,8.34,0.00,0.00,0.00,14.47,0.00,16.14,32.14,20.97,0.00,0.00,16.59,18.66,26.32,8.21,10.67,18.34,0.00,0.00
seq1240,10.24,0.00,0.00,17.91,37.70,9.85,24.50,30.65,8.02,11.34,48.02,20.61,0.00,30.26,28.27,12.60,27.62,21.71,11.63,15.96
seq1241,13.39,0.00,52.61,28.03,82.76,17.25,41.65,29.56,23.87,12.86,60.93,24.25,24.34,37.84,20.74,57.91,54.00,12.82,0.00,49.06
seq1242,17.48,0.00,29.41,36.69,50.68,20.48,41.07,23.95,11.05,14.59,70.72,34.44,57.51,49.36,9.48,49.52,19.88,15.03,0.00,33.23
seq1243,17.75,0.00,38.35,23.66,58.13,18.39,35.14,34.81,14.36,32.33,59.17,47.70,39.07,33.62,26.02,12.67,25.06,18.79,0.00,35.73
seq1244,13.19,74.15,51.98,30.15,44.63,36.04,54.33,33.02,17.30,15.14,67.07,91.12,31.19,21.60,14.52,32.28,15.78,21.83,0.00,37.74
seq1245,8.16,0.00,23.82,0.00,21.82,7.88,29.57,27.61,14.30,19.62,36.03,0.00,22.76,20.97,12.63,12.08,0.00,12.81,0.00,0.00
seq1246,11.20,0.00,0.00,32.20,19.63,12.37,24.55,11.83,6.70,11.02,42.50,27.02,0.00,12.19,0.00,16.38,17.38,26.43,14.10,18.58
seq1247,30.16,8.80,25.78,11.74,20.48,11.06,0.00,49.02,14.02,11.62,0.00,22.90,19.14,35.86,14.89,23.88,0.00,29.25,0.00,0.00
seq1248,0.00,0.00,0.00,9.38,0.00,5.08,0.00,0.00,3.75,6.92,0.00,0.00,0.00,0.00,8.42,4.08,0.00,9.38,0.00,5.75
seq1249,15.58,0.00,0.00,24.24,14.34,5.46,0.00,10.91,9.35,14.09,17.70,10.28,24.66,10.13,0.00,15.76,17.03,10.50,28.16,0.00
seq1250,21.86,18.18,14.62,16.90,13.79,7.44,0.00,9.11,5.12,7.35,0.00,0.00,0.00,0.00,16.90,13.59,20.89,13.79,23.45,0.00
seq1251,0.00,7.07,0.00,0.00,13.07,7.31,0.00,4.53,7.81,5.47,0.00,0.00,7.20,0.00,5.60,0.00,12.31,7.06,0.00,0.00
seq1252,16.25,6.42,0.00,0.00,13.25,8.72,0.00,0.00,6.24,0.00,0.00,0.00,5.53,10.25,0.00,9.05,9.65,0.00,10.25,9.05
seq1253,8.67,0.00,0.00,0.00,13.07,3.25,0.00,7.07,7.79,2.25,7.07,0.00,0.00,0.00,0.00,0.00,9.87,0.00,0.00,0.00
seq1254,0.00,10.21,0.00,0.00,0.00,8.65,0.00,9.90,4.84,12.95,0.00,8.15,0.00,0.00,10.38,13.25,14.19,16.25,9.05,9.52
seq1255,11.79,11.81,12.59,0.00,8.50,7.12,13.19,10.80,0.00,21.48,0.00,8.50,23.19,12.59,6.48,9.35,0.00,0.00,12.81,0.00
seq1256,11.30,0.00,0.00,0.00,19.22,3.85,4.75,6.57,10.87,5.16,0.00,0.00,0.00,0.00,18.23,0.00,0.00,8.14,0.00,0.00
seq1257,19.33,9.94,26.94,19.60,32.91,13.27,17.17,30.98,17.18,33.10,28.57,24.79,34.79,16.02,22.37,0.00,37.74,12.73,40.60,17.74
seq1258,13.07,0.00,70.27,11.74,72.27,9.64,75.01,63.90,19.21,40.03,90.35,44.30,85.67,23.76,0.00,35.23,24.70,12.83,0.00,63.78
seq1259,0.00,0.00,0.00,0.00,5.03,16.40,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.00,4.77,17.57,0.00,0.00,33.14,26.97
seq1260,11.39,0.00,0.00,0.00,12.72,0.00,6.71,0.00,11.39,2.92,0.00,14.28,0.00,0.00,0.00,4.81,9.39,8.00,0.00,0.00
seq1261,19.25,41.76,20.48,34.73,69.09,19.90,76.46,36.49,37.36,16.66,70.94,66.11,31.32,20.66,25.93,22.84,55.26,31.04,68.22,0.00
seq1262,0.00,0.00,0.00,0.00,5.42,0.00,0.00,9.38,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,0.00,2.30,0.00
seq1263,0.00,0.00,0.00,0.00,12.04,0.00,0.00,0.00,3.58,6.76,0.00,0.00,18.54,13.54,4.45,0.00,0.00,9.77,7.83,11.54
seq1264,11.29,0.00,31.45,15.33,14.00,11.78,20.12,18.98,15.23,20.63,25.26,27.76,32.00,0.00,24.31,36.31,10.16,26.54,0.00,16.88
seq1265,8.97,0.00,32.00,9.73,15.72,19.95,19.71,26.54,15.97,14.51,24.39,0.00,30.49,10.97,23.46,19.95,19.36,0.00,22.63,29.52
seq1266,10.47,0.00,0.00,0.00,13.29,15.06,12.31,8.59,4.67,2.25,0.00,0.00,7.65,0.00,0.00,0.00,0.00,11.76,0.00,0.00
seq1267,7.88,0.00,0.00,0.00,0.00,16.06,8.72,14.28,5.56,3.60,14.28,0.00,8.28,0.00,0.00,11.39,0.00,5.56,0.00,0.00
seq1268,0.00,0.00,0.00,9.41,0.00,0.00,8.59,10.47,0.00,6.92,0.00,5.81,6.69,5.56,0.00,0.00,8.00,15.06,0.00,11.76
seq1269,7.50,0.00,0.00,8.93,0.00,6.36,0.00,6.53,0.00,11.33,9.87,8.67,0.00,0.00,0.00,13.07,7.73,7.07,0.00,5.21
seq1270,11.42,11.68,0.00,20.66,10.90,6.04,23.68,13.35,0.00,15.78,0.00,30.03,9.68,0.00,5.32,10.77,26.41,14.52,18.53,0.00
seq1271,0.00,8.68,33.14,0.00,17.69,7.72,17.69,12.63,0.00,17.73,18.86,22.92,28.69,11.45,7.58,20.16,12.53,31.35,0.00,0.00
seq1272,8.59,0.00,9.41,0.00,0.00,4.40,0.00,0.00,0.00,3.38,0.00,5.07,0.00,0.00,13.29,15.06,7.53,7.65,0.00,0.00
seq1273,5.47,0.00,0.00,0.00,13.29,7.06,0.00,8.59,13.29,3.69,0.00,0.00,0.00,7.65,0.00,8.59,8.00,15.06,0.00,0.00
seq1274,31.21,34.65,41.25,22.40,45.06,18.98,60.37,38.17,21.93,26.84,0.00,27.13,48.27,30.35,76.10,11.01,21.17,8.44,70.52,38.91
seq1275,8.82,0.00,22.62,24.36,35.91,20.33,19.89,25.11,22.39,10.50,41.11,16.93,19.57,21.69,21.20,11.79,10.63,16.39,21.69,29.16
seq1276,0.00,0.00,20.43,14.39,23.49,0.00,0.00,18.79,5.81,14.12,41.02,18.17,17.74,17.45,0.00,19.03,7.76,26.14,0.00,0.00
seq1277,9.16,0.00,14.30,18.50,30.15,6.97,0.00,0.00,8.07,0.00,0.00,9.09,30.15,23.79,21.58,17.53,15.58,21.09,0.00,0.00
seq1278,30.66,0.00,0.00,0.00,12.47,8.44,0.00,9.36,10.71,9.43,0.00,0.00,16.75,0.00,11.03,24.97,0.00,19.19,0.00,0.00
seq1279,8.48,0.00,0.00,0.00,9.24,9.62,0.00,11.86,5.16,6.11,0.00,10.05,13.86,0.00,17.24,0.00,20.05,10.59,12.77,0.00
seq1280,8.54,0.00,0.00,0.00,0.00,7.04,16.35,13.58,12.19,6.14,0.00,19.44,0.00,24.04,6.35,0.00,24.04,0.00,8.54,0.00
seq1281,14.43,15.68,0.00,26.41,0.00,9.97,0.00,18.26,5.85,10.55,0.00,9.57,0.00,0.00,15.16,28.16,20.66,7.46,0.00,0.00
seq1282,9.12,0.00,25.16,21.26,28.37,11.49,20.56,14.72,13.02,13.41,22.69,22.79,23.49,16.98,24.10,21.26,29.63,18.79,13.44,17.45
seq1283,12.18,9.61,19.10,14.46,17.93,12.18,0.00,16.90,9.30,14.14,13.59,24.18,9.61,0.00,19.10,14.11,0.00,15.32,0.00,0.00
seq1284,9.09,7.79,20.03,0.00,25.90,8.51,15.45,18.51,24.72,16.59,18.72,31.64,27.18,0.00,16.86,28.56,37.03,16.71,21.79,0.00
seq1285,33.03,0.00,0.00,0.00,0.00,0.00,0.00,17.56,0.00,18.57,24.74,0.00,2.35,24.74,3.11,31.14,27.71,0.00,14.30,10.39
seq1286,0.00,0.00,0.00,0.00,0.00,13.65,0.00,0.00,0.00,21.04,0.00,0.00,6.25,0.00,4.61,5.35,6.67,0.00,13.50,8.59
seq1287,0.00,0.00,0.00,22.04,14.54,0.00,0.00,6.50,12.71,10.00,0.00,18.54,12.04,0.00,7.07,0.00,15.91,12.04,0.00,13.54
seq1288,0.00,0.00,26.04,0.00,0.00,8.42,0.00,13.04,15.18,8.65,0.00,20.89,13.26,13.18,7.05,16.04,10.89,0.00,15.18,15.78
seq1289,20.66,0.00,28.16,0.00,0.00,28.16,0.00,12.57,16.28,16.28,0.00,24.78,6.65,30.03,4.40,19.53,22.06,0.00,8.07,0.00
seq1290,0.00,0.00,24.18,0.00,0.00,2.46,0.00,0.00,26.04,0.00,0.00,0.00,0.00,0.00,26.04,8.35,0.00,22.46,7.38,0.00
